Attacker,Squirtle,,Distribution,Damage Mods,Base Damage,Adjusted Damage,,,Criteria,Count,Probability
Level,100,,217,0.8509803922,155,131,,,>Max HP,0,0.00%
Attack,115,,218,0.8549019608,155,132,,,>Current HP,39,100.00%
Special,119,,219,0.8588235294,155,133,,,>Half Max HP,38,97.44%
Type 1,Water,,220,0.862745098,155,133,,,,,
Type 2,None,,221,0.8666666667,155,134,,,,,
Defender,Geodude,,222,0.8705882353,155,134,,,,,
Level,100,,223,0.8745098039,155,135,,,,,
Max HP,204,,224,0.8784313725,155,136,,,,,
Defense,219,,225,0.8823529412,155,136,,,,,
Special,79,,226,0.8862745098,155,137,,,,,
Type 1,Rock,,227,0.8901960784,155,137,,,,,
Type 2,Ground,,228,0.8941176471,155,138,,,,,
Move,,,229,0.8980392157,155,139,,,,,
Move Type,Grass,,230,0.9019607843,155,139,,,,,
P/S,S,,231,0.9058823529,155,140,,,,,
Move Power,60,,232,0.9098039216,155,141,,,,,
Critical,1,,233,0.9137254902,155,141,,,,,
STAB,1,,234,0.9176470588,155,142,,,,,
Type1 Mod,2,,235,0.9215686275,155,142,,,,,
Type2 Mod,2,,236,0.9254901961,155,143,,,,,
Physical Damage,56,,238,0.9333333333,155,144,,,,,
Special Damage,155,,239,0.937254902,155,145,,,,,
Current HP,1,,237,0.9294117647,155,144,,,,,
,,,240,0.9411764706,155,145,,,,,
,,,241,0.9450980392,155,146,,,,,
,,,242,0.9490196078,155,147,,,,,
,,,243,0.9529411765,155,147,,,,,
,,,244,0.9568627451,155,148,,,,,
,,,245,0.9607843137,155,148,,,,,
,,,246,0.9647058824,155,149,,,,,
,,,247,0.968627451,155,150,,,,,
,,,248,0.9725490196,155,150,,,,,
,,,249,0.9764705882,155,151,,,,,
,,,250,0.9803921569,155,151,,,,,
,,,251,0.9843137255,155,152,,,,,
,,,252,0.9882352941,155,153,,,,,
,,,253,0.9921568627,155,153,,,,,
,,,254,0.9960784314,155,154,,,,,
,,,255,1,155,155,,,,,